snr,object_side_size,trial,environment_transformation,object_transformation,transformation_inferred,agents_action,mu_env,sigma_env,mu_obj,saliency
0,2,10,1,1,0,4,,,141.48,
0,2,11,0,1,2,0,,,141.48,
0,2,12,0,3,4,4,,,141.48,
0,2,13,1,3,3,3,,,141.48,
0,2,14,1,1,4,2,,,141.48,
0,2,15,2,3,3,0,,,141.48,
0,2,16,1,4,3,3,,,141.48,
0,2,17,4,2,2,0,,,141.48,
0,2,18,2,3,3,4,,,141.48,
0,2,19,0,1,4,2,,,141.48,
0,2,20,4,2,3,0,,,141.48,
0,2,21,2,3,1,4,,,141.48,
0,2,22,4,2,4,1,,,141.48,
0,2,23,2,2,0,1,,,141.48,
0,2,24,1,2,1,1,,,141.48,
0,2,25,1,4,0,1,,,141.48,
0,2,26,4,4,1,1,,,141.48,
0,2,27,1,2,4,1,,,141.48,
0,2,28,3,1,3,1,,,141.48,
0,2,29,2,0,0,3,,,141.48,
0,2,30,1,2,4,3,,,141.48,
0,2,31,4,0,4,3,,,141.48,
0,2,32,1,1,1,0,,,141.48,
0,2,33,0,4,1,4,,,141.48,
0,2,34,4,0,4,1,,,141.48,
0,2,35,1,1,2,0,,,141.48,
0,2,36,2,2,2,2,,,141.48,
0,2,37,1,1,4,4,,,141.48,
0,2,38,0,2,3,0,,,141.48,
0,2,39,3,3,0,4,,,141.48,
0,2,40,4,3,1,3,,,141.48,
0,2,41,2,1,2,0,,,141.48,
0,2,42,3,4,4,3,,,141.48,
0,2,43,3,1,4,3,,,141.48,
0,2,44,2,2,3,3,,,141.48,
0,2,45,3,2,4,0,,,141.48,
0,2,46,3,3,3,4,,,141.48,
0,2,47,2,4,1,3,,,141.48,
0,2,48,4,3,1,3,,,141.48,
0,2,49,4,3,3,2,,,141.48,
0,2,50,1,0,1,2,,,141.48,
0,2,51,4,3,2,0,,,141.48,
0,2,52,1,4,2,4,,,141.48,
0,2,53,2,1,3,0,,,141.48,
0,2,54,2,2,1,2,,,141.48,
0,2,55,1,0,4,2,,,141.48,
0,2,56,0,2,2,0,,,141.48,
0,2,57,2,0,1,3,,,141.48,
0,2,58,2,0,1,1,,,141.48,
0,2,59,0,0,1,2,,,141.48,
0,2,60,3,3,4,1,,,141.48,
0,2,61,3,0,4,2,,,141.48,
0,2,62,3,3,3,4,,,141.48,
0,2,63,1,0,2,2,,,141.48,
0,2,64,4,3,4,2,,,141.48,
0,2,65,0,3,2,2,,,141.48,
0,2,66,3,3,3,2,,,141.48,
0,2,67,2,2,0,3,,,141.48,
0,2,68,3,0,1,3,,,141.48,
0,2,69,0,2,2,4,,,141.48,
0,2,70,1,0,2,3,,,141.48,
0,2,71,3,2,2,3,,,141.48,
0,2,72,0,0,3,1,,,141.48,
0,2,73,4,4,1,0,,,141.48,
0,2,74,2,0,4,3,,,141.48,
0,2,75,1,0,1,3,,,141.48,
0,2,76,2,1,3,3,,,141.48,
0,2,77,3,2,0,3,,,141.48,
0,2,78,4,1,0,4,,,141.48,
0,2,79,2,0,0,3,,,141.48,
0,2,80,3,1,4,0,,,141.48,
0,2,81,0,4,2,0,,,141.48,
0,2,82,1,1,3,2,,,141.48,
0,2,83,1,2,4,3,,,141.48,
0,2,84,1,2,4,1,,,141.48,
0,2,85,1,4,4,1,,,141.48,
0,2,86,3,3,2,2,,,141.48,
0,2,87,2,0,2,4,,,141.48,
0,2,88,1,3,2,2,,,141.48,
0,2,89,4,0,0,4,,,141.48,
0,2,90,3,1,1,0,,,141.48,
0,2,91,0,1,2,3,,,141.48,
0,2,92,2,3,0,3,,,141.48,
0,2,93,3,4,1,3,,,141.48,
0,2,94,1,1,4,3,,,141.48,
0,2,95,1,3,0,2,,,141.48,
0,2,96,3,4,0,3,,,141.48,
0,2,97,1,1,0,4,,,141.48,
0,2,98,1,0,0,4,,,141.48,
0,2,99,3,0,4,2,,,141.48,
0,3,0,2,4,2,3,,,141.48,
0,3,1,2,1,0,4,,,141.48,
0,3,2,0,3,3,1,,,141.48,
0,3,3,2,2,2,1,,,141.48,
0,3,4,4,0,0,3,,,141.48,
0,3,5,4,2,3,0,,,141.48,
0,3,6,3,2,2,3,,,141.48,
0,3,7,2,3,3,0,,,141.48,
0,3,8,1,0,0,3,,,141.48,
0,3,9,4,3,3,2,,,141.48,
0,3,10,1,1,1,2,,,141.48,
0,3,11,0,4,0,4,,,141.48,
0,3,12,0,2,2,0,,,141.48,
0,3,13,3,0,1,1,,,141.48,
0,3,14,3,3,3,4,,,141.48,
0,3,15,0,2,3,1,,,141.48,
0,3,16,0,4,4,3,,,141.48,
0,3,17,0,3,1,1,,,141.48,
0,3,18,3,0,0,2,,,141.48,
0,3,19,3,4,4,3,,,141.48,
0,3,20,2,4,0,0,,,141.48,
0,3,21,2,0,3,0,,,141.48,
0,3,22,0,2,3,4,,,141.48,
0,3,23,3,4,2,4,,,141.48,
0,3,24,2,4,4,2,,,141.48,
0,3,25,2,2,4,4,,,141.48,
0,3,26,3,1,1,4,,,141.48,
0,3,27,2,1,2,3,,,141.48,
0,3,28,3,1,0,2,,,141.48,
0,3,29,3,3,0,0,,,141.48,
0,3,30,1,4,0,4,,,141.48,
0,3,31,4,4,2,2,,,141.48,
0,3,32,0,0,1,1,,,141.48,
0,3,33,2,4,2,2,,,141.48,
0,3,34,4,3,1,1,,,141.48,
0,3,35,4,2,2,3,,,141.48,
0,3,36,3,3,0,0,,,141.48,
0,3,37,2,2,3,3,,,141.48,
0,3,38,4,0,2,4,,,141.48,
0,3,39,4,2,2,1,,,141.48,
0,3,40,3,2,2,0,,,141.48,
0,3,41,1,0,3,1,,,141.48,
0,3,42,0,3,4,4,,,141.48,
0,3,43,4,4,4,0,,,141.48,
0,3,44,3,2,3,1,,,141.48,
0,3,45,1,2,2,1,,,141.48,
0,3,46,2,3,3,1,,,141.48,
0,3,47,4,2,2,0,,,141.48,
0,3,48,1,4,4,0,,,141.48,
0,3,49,1,1,0,1,,,141.48,
0,3,50,0,4,0,0,,,141.48,
0,3,51,1,2,4,0,,,141.48,
0,3,52,0,0,0,0,,,141.48,
0,3,53,2,1,1,1,,,141.48,
0,3,54,2,1,1,4,,,141.48,
0,3,55,0,4,4,2,,,141.48,
0,3,56,0,3,3,4,,,141.48,
0,3,57,2,1,2,3,,,141.48,
0,3,58,2,3,1,1,,,141.48,
0,3,59,4,0,0,0,,,141.48,
0,3,60,3,3,3,3,,,141.48,
0,3,61,3,3,4,1,,,141.48,
0,3,62,2,1,1,3,,,141.48,
0,3,63,0,0,4,4,,,141.48,
0,3,64,2,0,0,3,,,141.48,
0,3,65,1,1,4,2,,,141.48,
0,3,66,2,4,1,0,,,141.48,
0,3,67,3,2,1,3,,,141.48,
0,3,68,2,4,4,2,,,141.48,
0,3,69,1,3,4,0,,,141.48,
0,3,70,1,3,0,3,,,141.48,
0,3,71,2,0,3,2,,,141.48,
0,3,72,0,0,4,2,,,141.48,
0,3,73,2,4,4,4,,,141.48,
0,3,74,4,3,3,4,,,141.48,
0,3,75,1,3,3,1,,,141.48,
0,3,76,2,4,0,4,,,141.48,
0,3,77,3,0,4,3,,,141.48,
0,3,78,0,3,1,1,,,141.48,
0,3,79,2,4,2,3,,,141.48,
0,3,80,4,3,3,4,,,141.48,
0,3,81,2,0,1,4,,,141.48,
0,3,82,2,3,3,3,,,141.48,
0,3,83,4,1,4,3,,,141.48,
0,3,84,3,4,3,4,,,141.48,
0,3,85,2,3,3,4,,,141.48,
0,3,86,3,3,0,0,,,141.48,
0,3,87,2,4,0,2,,,141.48,
0,3,88,3,1,4,1,,,141.48,
0,3,89,3,1,4,0,,,141.48,
0,3,90,1,3,0,3,,,141.48,
0,3,91,4,0,2,2,,,141.48,
0,3,92,0,2,4,4,,,141.48,
0,3,93,2,4,1,2,,,141.48,
0,3,94,2,2,2,1,,,141.48,
0,3,95,4,3,0,0,,,141.48,
0,3,96,1,0,0,0,,,141.48,
0,3,97,0,4,4,3,,,141.48,
0,3,98,3,0,0,4,,,141.48,
0,3,99,4,0,0,0,,,141.48,
0,4,0,4,2,2,3,,,141.48,
0,4,1,4,0,2,1,,,141.48,
0,4,2,4,1,1,4,,,141.48,
0,4,3,4,2,2,1,,,141.48,
0,4,4,3,0,0,0,,,141.48,
0,4,5,3,2,4,0,,,141.48,
0,4,6,0,2,1,3,,,141.48,
0,4,7,1,0,3,2,,,141.48,
0,4,8,1,0,4,3,,,141.48,
0,4,9,4,3,3,2,,,141.48,
0,4,10,3,3,2,3,,,141.48,
0,4,11,1,0,1,1,,,141.48,
0,4,12,1,2,4,1,,,141.48,
0,4,13,2,0,2,3,,,141.48,
0,4,14,3,1,3,4,,,141.48,
0,4,15,1,3,3,1,,,141.48,
0,4,16,2,3,3,0,,,141.48,
0,4,17,1,1,1,4,,,141.48,
0,4,18,0,4,3,3,,,141.48,
0,4,19,3,0,0,4,,,141.48,
0,4,20,4,4,1,0,,,141.48,
0,4,21,4,4,1,4,,,141.48,
0,4,22,0,1,1,3,,,141.48,
0,4,23,1,0,3,4,,,141.48,
0,4,24,1,4,4,3,,,141.48,
0,4,25,3,1,2,4,,,141.48,
0,4,26,2,3,1,3,,,141.48,
0,4,27,3,1,1,1,,,141.48,
0,4,28,3,1,1,1,,,141.48,
0,4,29,4,0,0,4,,,141.48,
0,4,30,3,4,1,1,,,141.48,
0,4,31,2,2,2,3,,,141.48,
0,4,32,3,2,3,2,,,141.48,
0,4,33,2,1,3,1,,,141.48,
0,4,34,3,3,3,4,,,141.48,
0,4,35,4,1,0,0,,,141.48,
0,4,36,2,1,1,4,,,141.48,
0,4,37,1,2,0,2,,,141.48,
0,4,38,3,4,4,0,,,141.48,
0,4,39,0,2,0,1,,,141.48,
0,4,40,1,1,1,1,,,141.48,
0,4,41,1,4,3,3,,,141.48,
0,4,42,1,2,2,1,,,141.48,
0,4,43,2,1,1,0,,,141.48,
0,4,44,3,1,1,0,,,141.48,
0,4,45,3,2,4,0,,,141.48,
0,4,46,0,1,1,3,,,141.48,
0,4,47,4,0,0,3,,,141.48,
0,4,48,1,1,1,4,,,141.48,
0,4,49,3,1,2,0,,,141.48,
0,4,50,1,4,1,3,,,141.48,
0,4,51,1,1,1,3,,,141.48,
0,4,52,3,2,0,2,,,141.48,
0,4,53,1,1,2,0,,,141.48,
0,4,54,1,4,3,2,,,141.48,
0,4,55,4,4,4,3,,,141.48,
0,4,56,3,2,2,2,,,141.48,
0,4,57,1,2,0,4,,,141.48,
0,4,58,4,1,2,3,,,141.48,
0,4,59,0,0,0,2,,,141.48,
0,4,60,1,1,1,3,,,141.48,
0,4,61,4,0,0,4,,,141.48,
0,4,62,1,0,3,2,,,141.48,
0,4,63,0,0,0,3,,,141.48,
0,4,64,3,0,1,3,,,141.48,
0,4,65,4,1,1,2,,,141.48,
0,4,66,0,1,1,4,,,141.48,
0,4,67,2,1,1,0,,,141.48,
0,4,68,0,3,0,2,,,141.48,
0,4,69,3,1,1,1,,,141.48,
0,4,70,1,2,2,2,,,141.48,
0,4,71,3,3,0,1,,,141.48,
0,4,72,0,0,0,0,,,141.48,
0,4,73,3,1,1,1,,,141.48,
0,4,74,2,3,3,4,,,141.48,
0,4,75,4,3,3,1,,,141.48,
0,4,76,1,4,2,1,,,141.48,
0,4,77,4,0,2,2,,,141.48,
0,4,78,0,2,4,3,,,141.48,
0,4,79,4,1,1,4,,,141.48,
0,4,80,1,2,3,1,,,141.48,
0,4,81,4,0,4,1,,,141.48,
0,4,82,0,0,0,1,,,141.48,
0,4,83,3,3,2,2,,,141.48,
0,4,84,4,3,3,0,,,141.48,
0,4,85,1,3,3,4,,,141.48,
